Город,Средняя зарплата
Кедровое,80000.0
Усть-Вымский район,80000.0
Натальинск,80000.0
Песчаное,80000.0
Николо-Павловское,80000.0
Уралец,80000.0
Урмикеево,80000.0
Косино,80000.0
Лосиный,80000.0
Махнево,80000.0
Алпатьево,80000.0
Алфимово,80000.0
Прикубанский (Республика Адыгея),80000.0
Вулканный,80000.0
Калья,80000.0
Манчаж,80000.0
Мартюш,80000.0
Тучково (Московская область),80000.0
Тверская,80000.0
Калиновка (Байкаловский район),80000.0
Таборы (Таборинский район),80000.0
Металлострой,79878.0
Усть-Луга,79626.0
Сочи,79500.0
Бразилия,79386.0
Горняк,79287.0
Мучкапский,79250.0
Абрау-Дюрсо,79242.0
Первомайское (Алтайский край),79100.0
Новодмитриевская,79036.0
Монголия,78927.0
Астана,78839.0
Славный (Тульская область),78750.0
Азанка,78750.0
Смоляниново,78750.0
Мурино,78747.0
Ош,78739.0
Горнозаводск (Сахалинская область),78500.0
Высокий,78500.0
Львов,78474.0
Катайск,78453.0
Хатукай,78333.0
Жуковский  (Московская область),78327.0
Новая Чара,78323.0
Елизаветинское (Ставропольский край),78167.0
Канглы (Ставропольский край),78167.0
Иргаклы,78167.0
Краснокумское,78167.0
Бурлацкое (Ставропольский край),78167.0
Комсомолец (Ставропольский край),78167.0
Приаргунск,77955.0
Мингечаур,77894.0
Харьков,77885.0
Одесса,77860.0
Коротчаево,77788.0
Новоукраинское,77781.0
Советский (Ленинградская область),77775.0
Алдан,77746.0
Республика Коста-Рика,77569.0
Троицкое (Московская область),77500.0
Корсаков,77377.0
Новый Ургал,77376.0
Тюбук,77375.0
Дьяконово,77375.0
Бугры,77339.0
Вынгапуровский,77333.0
Ардатов (Нижегородская область),77234.0
Новосибирск,77112.0
Бодайбо,76898.0
Богородское (Московская область),76875.0
Пуровск,76875.0
Сокол (Магаданская область),76676.0
Забайкальск,76671.0
Горьковское,76667.0
Кысыл-Сыр,76595.0
Николо-Березовка,76562.0
Ягодное (Самарская область),76515.0
Частоозерье,76500.0
Куркино (Московская область),76429.0
Ленск,76422.0
Бахт,76329.0
Горбатовка,76265.0
Байкалово,76250.0
Ванавара,76250.0
Новоминская,76250.0
Солнечный,76058.0
Соболево (Камчатский край),76000.0
Ерофей Павлович,76000.0
Ильинка (Хабаровский край),76000.0
Лежнево,75750.0
Сквира,75689.0
Шедок,75667.0
Вольное (Адыгея),75667.0
Белое (Адыгея),75667.0
Ис,75625.0
Эльбан,75625.0
Тазовский,75406.0
Тунис,75387.0
Ливан,75387.0
Реюньон,75387.0
Республика Мадагаскар,75387.0
Республика Либерия,75387.0
Республика Кот-д’Ивуар,75387.0
Другие регионы,75370.0
Ревда (Свердловская область),75350.0
Верхнетуломский,75250.0
"Горки-10 (Московская область, Одинцовский район)",75232.0
Котельники  (Московская область),75183.0
Сиреневый (Курганская область),75000.0
Мишуково (Мурманская область),75000.0
Михайловское (Северная Осетия),75000.0
Майское (Северная Осетия),75000.0
Майртуп,75000.0
Мескер-Юрт,75000.0
Междуречье (Мурманская область),75000.0
Хакуринохабль,75000.0
Ура-Губа,75000.0
Улукулево,75000.0
Луковская (Северная Осетия),75000.0
Тарки,75000.0
Орджоникидзевский,75000.0
Дылым,75000.0
Инарки,75000.0
Заводоуспенское,75000.0
Северо-Восточные Сады,75000.0
Камбилеевское,75000.0
Раякоски,75000.0
Тарское,75000.0
Сурхахи,75000.0
Заря (муниципальное образование Алапаевское),75000.0
Ильинское-Хованское,75000.0
Северное (Ставропольский край),75000.0
Курлек,75000.0
Кумыш,75000.0
Кяхулай,75000.0
Лейпи,75000.0
Моряковский Затон,75000.0
Бабаюрт,75000.0
Троицкое (Северная Осетия),75000.0
Тулюшка,75000.0
Катыр-Юрт,75000.0
Ассиновская,75000.0
Пояконда,75000.0
Ансалта,75000.0
Луостари,75000.0
Самусь,75000.0
Сары-Тюз,75000.0
Владимиро-Александровское,75000.0
Птичье (Ставропольский край),75000.0
Псыж,75000.0
Хумалаг,75000.0
Атиг,75000.0
Грязновское,75000.0
Губден,75000.0
Герменчук,75000.0
Гехи,75000.0
Каргала,75000.0
Кильдинстрой,75000.0
Гойты,75000.0
Гилёва (Белоярский городской округ),75000.0
Михайловка,75000.0
Первомайский (Смоленская область),75000.0
Сергокала,75000.0
Чапаевское (Карачаево-Черкесия),75000.0
Лух,75000.0
Усиша,75000.0
Урожайное (Ставропольский край),75000.0
Альбурикент,75000.0
Маджалис,75000.0
Аллерой (Курчалоевский район),75000.0
Алхан-Кала,75000.0
Днепровская,75000.0
Тыреть 1-я,75000.0
Акуша,75000.0
Автуры,75000.0
Дружинино,75000.0
Цоци-Юрт,75000.0
Могочино,75000.0
Руза (Московская область),75000.0
Радуга,75000.0
Сокуры,75000.0
Первомайское (Карачаево-Черкесия),75000.0
Первомайское (Хасавюртовский район),75000.0
Молочный,75000.0
Ходзь,75000.0
Бачи-Юрт,75000.0
Чернолесское,75000.0
Чонтаул,75000.0
Белиджи,75000.0
Натырбово,75000.0
Мысхако,75000.0
Черемухово,75000.0
Наурская,75000.0
Нижнее Казанище,75000.0
Кардоникская,75000.0
Карджин,75000.0
Плиево,75000.0
Новый Васюган,75000.0
Средний Васюган,75000.0
Красное (Краснодарский край),75000.0
Средний,75000.0
Большебрусянское,75000.0
Шиловка (Горноуральский городской округ),75000.0
Богашёво,75000.0
Икон-Халк,75000.0
Новокаякент,75000.0
Шелковская,75000.0
Новолакское,75000.0
Новая Мака,75000.0
Кужорская,75000.0
Красный Курган (Карачаево-Черкесия),75000.0
Красный Чикой,75000.0
Нижний Цасучей,75000.0
Мыс Каменный,75000.0
Шамилькала,75000.0
Шаталово,75000.0
Нижний Дженгутай,75000.0
Червлённая,75000.0
Нерчинский Завод,75000.0
Незамаевская,75000.0
Кака-Шура,75000.0
Исправная,75000.0
Еланский,75000.0
Семилетка,75000.0
Терская,75000.0
Гелдаган,75000.0
Геджух,75000.0
Стодолище,75000.0
Яндаре,75000.0
Юшала,75000.0
Вахрушево,75000.0
Рыбалово,75000.0
Титан (Мурманская область),75000.0
Тищенское,75000.0
Сунжа (Северная Осетия),75000.0
Сторожевая (Карачаево-Черкесия),75000.0
Тарумовка,75000.0
Гергебиль,75000.0
Тегульдет,75000.0
Темижбекский,75000.0
Кисловка,75000.0
Терезе,75000.0
Териберка,75000.0
Валериановск,75000.0
Коржевский (Славянский район),75000.0
Ковалевское (Краснодарский край),75000.0
Каякент,75000.0
Красный Коммунар,75000.0
Верхнее Казанище,75000.0
Бутка,75000.0
Новый Кяхулай,75000.0
Семендер,75000.0
Новый Чиркей,75000.0
Новый Сулак,75000.0
Парбиг,75000.0
Стародубское (Ставропольский край),75000.0
Зональная Станция,75000.0
Зоркальцево,75000.0
Зашеек (Мурманская область),75000.0
Змейская,75000.0
Шатск,74992.0
Пакистан,74990.0
Магадан,74986.0
Хурба,74951.0
Ногинск (Московская область),74904.0
Ватутинки,74903.0
Вознесенское (Нижегородская область),74861.0
Шишкин Лес,74833.0
Мьянма,74764.0
Пичаево,74760.0
Карачев,74705.0
Родники (Московская область),74704.0
Запрудня (Московская область),74671.0
Серпухов (Московская область),74668.0
Краснознаменск (Московская область),74580.0
Александровское (Томская область),74458.0
Фрязино,74370.0
Ясногорск (Забайкальский край),74350.0
Оконешниково,74333.0
Октябрьский (Иркутская область),74331.0
Газимурский Завод,74000.0
Курумоч,74000.0
Шумячи,73938.0
Нукус,73862.0
Хиславичи,73792.0
Черемное,73750.0
Салым,73722.0
Дубовка (Тульская область),73679.0
Республика Маврикий,73591.0
Петра Дубрава,73533.0
Барсово,73500.0
Черноголовка,73430.0
Первомайский (Коркинский район),73375.0
Климовское,73375.0
Лесное,73375.0
Малиновский,73333.0
Локосово,73333.0
Федоровский,73294.0
Томилино,73292.0
Краснокаменск (Красноярский край),73270.0
Павловское (городской округ Домодедово),73139.0
Бурея (Амурская область),73100.0
Новый Уренгой,73064.0
Зея,73029.0
Тоншалово,72875.0
Республика Северный Судан,72848.0
Кировская,72833.0
Иштыхан,72776.0
Каттакурган,72776.0
Химки,72762.0
Ленинский (Тульская область),72736.0
Знаменка (Тамбовская область),72638.0
Корфовский,72500.0
Новоселезнево,72500.0
Рогачево (Московская область),72500.0
Красноармейск (Московская область),72498.0
Городок,72400.0
Апатиты,72336.0
Некрасовский (Московская область),72302.0
Электроугли,72296.0
Дубинино,72083.0
Русская Поляна,72012.0
Касумкент,72000.0
Клёново (Московская область),72000.0
Архара,71925.0
Домодедово (село),71889.0
Чунояр,71833.0
Углянец,71792.0
Низино (Ленинградская область),71783.0
Луначарский (Самарская область),71750.0
Республика Гватемала,71747.0
Биракан,71667.0
Ржакса,71625.0
Нерюнгри,71592.0
Белоярск,71571.0
Сергиев Посад (Московская область),71479.0
Норильск,71468.0
Ковель,71464.0
Угра,71464.0
Дружковка,71371.0
Казахстан,71332.0
Бешкент,71302.0
Зеленоборск,71250.0
Шабровский,71250.0
Заиграево,71167.0
Гидростроитель,71080.0
Дубна,71012.0
Петропавловское,71000.0
Мытищи,70995.0
Мама,70917.0
Навои,70892.0
Багаряк,70875.0
Бродокалмак,70875.0
Курьи,70833.0
Нововеличковская,70833.0
Андреевский (Тюменская область),70812.0
Лосино-Петровский,70804.0
Отрадное (Ленинградская область),70776.0
Сирия,70773.0
Когалым,70641.0
Высоцк,70627.0
Еманжелинка,70560.0
Новошешминск,70513.0
Сентябрьский,70500.0
Сенно,70366.0
Екатеринбург,70356.0
Липецкая область,70312.0
Димитров,70308.0
Павловск (Ленинградская область),70255.0
Канашево,70250.0
"Речицы (Московская область, Раменский район)",70203.0
Монетный,70181.0
Кирпильская,70167.0
Бутурлино,70134.0
